
Bus0001,10:00,pune,mumbai,30,30,100.0
Bus0002,12:00,pune,mumbai,30,30,100.0
Bus0003,14:00,pune,mumbai,30,30,100.0
Bus0004,16:00,pune,mumbai,30,30,100.0
Bus0005,18:00,pune,mumbai,30,30,100.0
Bus0006,20:00,pune,mumbai,30,30,100.0
Bus0007,22:00,pune,mumbai,30,30,100.0
Bus0008,01:00,pune,mumbai,30,30,100.0
Bus0009,03:00,pune,mumbai,30,30,100.0
Bus0010,05:00,pune,mumbai,30,30,100.0

Bus0011,10:00,mumbai,pune,30,30,100.0
Bus0012,12:00,mumbai,pune,30,30,100.0
Bus0013,14:00,mumbai,pune,30,30,100.0
Bus0014,16:00,mumbai,pune,30,30,100.0
Bus0015,18:00,mumbai,pune,30,30,100.0
Bus0016,20:00,mumbai,pune,30,30,100.0
Bus0017,22:00,mumbai,pune,30,30,100.0
Bus0018,01:00,mumbai,pune,30,30,100.0
Bus0019,03:00,mumbai,pune,30,30,100.0
Bus0020,05:00,mumbai,pune,30,30,100.0
